# of paper,Dates on the paper
1,11/10/88; 12/10/88; 19/12/88; 25-26/2/89; 30/8/89; 31/12/89; 1/1/90
2,12-1-90; 17-1-90
3,19-7-90; 17-8-90; 18-8-90; 19-8-90; 8-9-90
4,30-9-90; 3-11-90; 7-12-90; 9-12-90
5,11-12-90; 27-12-90; 5-1-91; 21-1-91; 7-2-91
6,12-2-91; 7-3-91; 13-3-91; 7-4-91
7,14-15/4/91; 27-4-91; 9-5-91; 12-5-91
8,27-5-91; 20-5; 9-6-91; 24-6-91; 11-7-91; 20-7-91; 21-7-91
9,21-7-91; 26-7-91; 4-8-91; 12-8-91; 13-8-91
10,14-8-91; 21-8-91; 22-8-91; 15-10-91
11,15-10-91; 14-11-91
12,30-11-91; 2-12-91; 4-12-91
13,6-12-91; 11-12-91; 16-12-91; 16-17-/12/91
14,17-18/12/91; 18-12-91; 20-12-91
15,20-12-91; 19-12-91; 21-12-91
16,23-12-91; 22-12-91; 24-12-91
17,25-12-91; 26-12-91; 27-12-91
18,27-12-91; 29-12-91; 31/12/91–1/1/92
19,1-1-92
20,1-1-92; 2-1-1992; 4-1-92; 5-1-92
21,5-1-92; 6-1-92
22,10-1-92; 11-1-92; 14-1-92
23,15-1-92; 16-1-92
24,16-1-92; 24-1-92
25,24-1-1992; 25-1-92; 28-1-92
26,28-1-92; 29-1-92
27,29-1-92; 3-2-92; 5-2-92
28,5-2-92; 7-2-92; 8-2-92
29,9-2-92; 12-2-92
30,23-2-92; 25-2-92; 27-2-92
31,1-3-92; 2-3-92
32,2-3-92; 4-3-92; 5-3-92
33,5-3-92; 6-3-92; 6-6-92; 8-3-92
34,8-3-92; 9-3-92; 10-3-92; 11-3-92
35,11-3-92; 12-3-92; 13-3-92; 20-3-92; 21-3-92
36,21-3-92; 23-3-92; 25-3-92; 27-3-92; 28-3-92
37,28-3-92; 29-3-92; 30-3-92; 31-3-92
38,31-3-92
39,1-4-92; 6-4-92; 8-4-92
40,8-4-92; 13-4-92; 23-4-93; 26-4-93; 30-4-92; 1-5-92
41,1-5-92; 5-5-92
42,5-5-92; 10-5-92; 12-5-92; 19-5-92
43,19-5-92; 20-5-92; 21-5-92; 23-5-92; 27-5-92
44,27-5-92; 6-6-92; 8-6-92; 11-6-92; 15-6-92
45,15-6-92; 18-6-92; 20-6-92; 23-6-92; 20-7-92; 9-7-92; 10-7-92; 11-7-92
46,11-7-92; 13-7-92; 14-7-92
47,14-7-92; 15-7-92; 20-7-92; 21-7-92
48,22-7-92; 23-7-92; 29-7-92; 1-8-92; 13-8-92; 14-8-92; 16-8-92
